Team 1,Score 1,Team 2,Score 2,Elo Rating 1,Elo Rating 2,New Elo Rating 1,New Elo Rating 2,Week,Year
TEN,25,IND,16,1581.4086544354848,1526.5593075748561,1610.1695987277494,1497.7983632825915,3,2021
LAC,30,KC,24,1482.106070774485,1651.5433084462823,1531.6319831986818,1602.0173960220854,3,2021
NO,28,NE,13,1602.1695248311416,1469.187757722015,1623.8197754953785,1447.5375070577782,3,2021
ATL,17,NYG,14,1356.954082357514,1389.3494050629324,1394.2244261752248,1352.0790612452215,3,2021
CIN,24,PIT,10,1406.9126673769163,1588.893096578869,1457.4015884901742,1538.4041754656112,3,2021
ARI,31,JAX,19,1554.9656424473471,1245.6717466992009,1564.8034216271196,1235.8339675194284,3,2021
DEN,26,NYJ,0,1475.8311020222795,1293.8807892256193,1493.5444540881294,1276.1674371597694,3,2021
LV,31,MIA,28,1577.54804736808,1557.8413031493294,1609.715947508115,1525.6734030092944,3,2021
LAR,34,TB,24,1610.4280055972524,1623.6791719354587,1645.8279466974482,1588.279230835263,3,2021
MIN,30,SEA,17,1400.9548433613327,1598.4348540214685,1452.5883210254415,1546.8013763573597,3,2021
GB,30,SF,28,1612.5776410330482,1507.2345378824334,1636.6440577416924,1483.1681211737891,3,2021
DAL,41,PHI,21,1461.1082677657137,1410.7570632919828,1490.3007222880724,1381.564608769624,3,2021
CIN,24,JAX,21,1457.4015884901742,1235.8339675194284,1472.1604568049065,1221.075099204696,4,2021
WSH,34,ATL,30,1453.6903021649334,1394.2244261752248,1481.7610471794349,1366.1536811607234,4,2021
BUF,40,HOU,0,1668.9387324663712,1363.7526356963754,1678.888947176165,1353.8024209865816,4,2021
CHI,24,DET,14,1463.1509518236364,1337.941051906118,1485.2713144917523,1315.8206892380022,4,2021
DAL,36,CAR,28,1490.3007222880724,1519.148527593379,1526.9007269914896,1482.5485228899618,4,2021
IND,27,MIA,17,1497.7983632825915,1525.6734030092944,1534.3043611204992,1489.1674051713867,4,2021
CLE,14,MIN,7,1600.0861638588851,1452.5883210254415,1620.3410745636922,1432.3334103206344,4,2021
NYG,27,NO,21,1352.0790612452215,1623.8197754953785,1407.9818643701535,1567.9169723704465,4,2021
NYJ,27,TEN,24,1276.1674371597694,1610.1695987277494,1335.1441099783056,1551.1929259092133,4,2021
KC,42,PHI,30,1602.0173960220854,1381.564608769624,1616.8504343796958,1366.7315704120138,4,2021
ARI,37,LAR,20,1564.8034216271196,1645.8279466974482,1606.345974375012,1604.2853939495558,4,2021
SEA,28,SF,21,1546.8013763573597,1483.1681211737891,1574.4791673724158,1455.490330158733,4,2021
BAL,23,DEN,7,1607.2947435292583,1493.5444540881294,1630.4077812495634,1470.4314163678243,4,2021
GB,27,PIT,17,1636.6440577416924,1538.4041754656112,1661.133681301093,1513.9145519062106,4,2021
TB,19,NE,17,1588.279230835263,1447.5375070577782,1609.0901149053043,1426.7266229877368,4,2021
LAC,28,LV,14,1531.6319831986818,1609.715947508115,1572.902956671238,1568.444974035559,4,2021
LAR,26,SEA,17,1604.2853939495558,1574.4791673724158,1634.9184850390625,1543.846076282909,5,2021
ATL,27,NYJ,20,1366.1536811607234,1335.1441099783056,1396.671629214008,1304.626161925021,5,2021
GB,25,CIN,22,1661.133681301093,1472.1604568049065,1678.0196586888978,1455.2744794171017,5,2021
MIN,19,DET,17,1432.3334103206344,1315.8206892380022,1455.0021810964738,1293.1519184621627,5,2021
PIT,27,DEN,19,1513.9145519062106,1470.4314163678243,1543.2436299192602,1441.1023383547747,5,2021
TB,45,MIA,17,1609.0901149053043,1489.1674051713867,1631.4654035215233,1466.7921165551677,5,2021
NO,33,WSH,22,1567.9169723704465,1481.7610471794349,1593.275943838166,1456.4020757117153,5,2021
PHI,21,CAR,18,1366.7315704120138,1482.5485228899618,1411.0026872216372,1438.2774060803383,5,2021
TEN,37,JAX,19,1551.1929259092133,1221.075099204696,1559.9078358778065,1212.3601892361028,5,2021
NE,25,HOU,22,1426.7266229877368,1353.8024209865816,1453.2966850806195,1327.232358893699,5,2021
CHI,20,LV,9,1485.2713144917523,1568.444974035559,1526.6412137048178,1527.0750748224934,5,2021
LAC,47,CLE,42,1572.902956671238,1620.3410745636922,1610.9487621269789,1582.2952691079513,5,2021
DAL,44,NYG,20,1526.9007269914896,1407.9818643701535,1549.3622157977923,1385.5203755638508,5,2021
ARI,17,SF,10,1606.345974375012,1455.490330158733,1626.1503972364155,1435.6859072973295,5,2021
BUF,38,KC,20,1678.888947176165,1616.8504343796958,1706.4699214856184,1589.2694600702423,5,2021
BAL,31,IND,25,1630.4077812495634,1534.3043611204992,1654.8707308826645,1509.841411487398,5,2021
TB,28,PHI,22,1631.4654035215233,1411.0026872216372,1646.0344834911696,1396.433607251991,6,2021
JAX,23,MIA,20,1212.3601892361028,1466.7921165551677,1266.2928907669432,1412.8594150243273,6,2021
GB,24,CHI,14,1678.0196586888978,1526.6412137048178,1697.6051464049813,1507.0557259887344,6,2021
CIN,34,DET,11,1455.2744794171017,1293.1519184621627,1474.0168968585824,1274.409501020682,6,2021
